SN;Dist_EN;Region;Hill;Mountain;Terai;Western;Middle;Eastern
1;HUMLA;Western Mountain;0;1;0;1;0;0
2;DARCHULA;Western Mountain;0;1;0;1;0;0
3;BAJHANG;Western Mountain;0;1;0;1;0;0
4;BAJURA;Western Mountain;0;1;0;1;0;0
5;MUGU;Western Mountain;0;1;0;1;0;0
6;BAITADI;Western Hill;1;0;0;1;0;0
7;DOLPA;Western Mountain;0;1;0;1;0;0
8;JUMLA;Western Mountain;0;1;0;1;0;0
9;KALIKOT;Western Mountain;0;1;0;1;0;0
10;DOTI;Western Hill;1;0;0;1;0;0
11;DADELDHURA;Western Hill;1;0;0;1;0;0
12;ACHHAM;Western Hill;1;0;0;1;0;0
13;DAILEKH;Western Hill;1;0;0;1;0;0
14;KANCHANPUR;Western Terai;0;0;1;1;0;0
15;JAJARKOT;Western Hill;1;0;0;1;0;0
16;KAILALI;Western Terai;0;0;1;1;0;0
17;RUKUM_WEST;Western HIll;1;0;0;1;0;0
18;RUKUM_EAST;Western HIll;1;0;0;1;0;0
19;SURKHET;Western Terai;0;0;1;1;0;0
20;MYAGDI;Middle Hill;1;0;0;0;1;0
21;BARDIYA;Western Terai;0;0;1;1;0;0
22;SALYAN;Western Hill;1;0;0;1;0;0
23;BAGLUNG;Middle Hill;1;0;0;0;1;0
24;MANANG;Middle Mountain;0;1;0;0;1;0
25;MUSTANG;Middle Mountain;0;1;0;0;1;0
26;ROLPA;Western Hill;1;0;0;1;0;0
27;BANKE;Western Terai;0;0;1;1;0;0
28;LAMJUNG;Middle Hill;1;0;0;0;1;0
29;GORKHA;Middle Hill;1;0;0;0;1;0
30;KASKI;Middle Hill;1;0;0;0;1;0
31;PARBAT;Middle Hill;1;0;0;0;1;0
32;PYUTHAN;Western Hill;1;0;0;1;0;0
33;RASUWA;Middle Mountain;0;1;0;0;1;0
34;GULMI;Middle Hill;1;0;0;0;1;0
35;DHADING;Middle Hill;1;0;0;0;1;0
36;DANG;Western Terai;0;0;1;1;0;0
37;SYANGJA;Middle Hill;1;0;0;0;1;0
38;TANAHU;Middle Hill;1;0;0;0;1;0
39;ARGHAKHANCHI;Middle Hill;1;0;0;0;1;0
40;NUWAKOT;Middle Hill;1;0;0;0;1;0
41;SINDHUPALCHOK;Middle Mountain;0;1;0;0;1;0
42;DOLAKHA;Eastern Mountain;0;1;0;0;0;1
43;PALPA;Middle Hill;1;0;0;0;1;0
44;SOLUKHUMBU;Eastern Mountain;0;1;0;0;0;1
45;CHITAWAN;Middle Terai;0;0;1;0;1;0
46;NAWALPARASI_EAST;Middle Terai;0;0;1;0;1;0
47;SANKHUWASABHA;Eastern Mountain;0;1;0;0;0;1
48;KAPILBASTU;Middle Terai;0;0;1;0;1;0
49;KATHMANDU;Middle Hill;1;0;0;0;1;0
50;BHAKTAPUR;Middle Hill;1;0;0;0;1;0
51;RUPANDEHI;Middle Terai;0;0;1;0;1;0
52;RAMECHHAP;Eastern Hill;1;0;0;0;0;1
53;KABHREPALANCHOK;Middle Hill;1;0;0;0;1;0
54;MAKAWANPUR;Middle Terai;0;0;1;0;1;0
55;NAWALPARASI_WEST;Middle Terai;0;0;1;0;1;0
56;LALITPUR;Middle Hill;1;0;0;0;1;0
57;TAPLEJUNG;Eastern Mountain;0;1;0;0;0;1
58;OKHALDHUNGA;Eastern Hill;1;0;0;0;0;1
59;BHOJPUR;Eastern Hill;1;0;0;0;0;1
60;SINDHULI;Eastern Terai;0;0;1;0;0;1
61;KHOTANG;Eastern Hill;1;0;0;0;0;1
62;PANCHTHAR;Eastern Hill;1;0;0;0;0;1
63;PARSA;Middle Terai;0;0;1;0;1;0
64;BARA;Middle Terai;0;0;1;0;1;0
65;TERHATHUM;Eastern Hill;1;0;0;0;0;1
66;RAUTAHAT;Middle Terai;0;0;1;0;1;0
67;SARLAHI;Eastern Terai;0;0;1;0;0;1
68;DHANKUTA;Eastern Hill;1;0;0;0;0;1
69;UDAYAPUR;Eastern Terai;0;0;1;0;0;1
70;MAHOTTARI;Eastern Terai;0;0;1;0;0;1
71;DHANUSHA;Eastern Terai;0;0;1;0;0;1
72;ILAM;Eastern Hill;1;0;0;0;0;1
73;SAPTARI;Eastern Terai;0;0;1;0;0;1
74;SIRAHA;Eastern Terai;0;0;1;0;0;1
75;SUNSARI;Eastern Terai;0;0;1;0;0;1
76;MORANG;Eastern Terai;0;0;1;0;0;1
77;JHAPA;Eastern Terai;0;0;1;0;0;1
